region,route,root,shieldClass
JEY,B21,jey.b021,Non-Primary
JEY,B22,jey.b022,Non-Primary
JEY,B23,jey.b023,Non-Primary
JEY,B24,jey.b024,Non-Primary
JEY,B25,jey.b025,Non-Primary
JEY,B26,jey.b026,Both
JEY,B27,jey.b027,Non-Primary
JEY,B28,jey.b028,Non-Primary
JEY,B29,jey.b029,Non-Primary
JEY,B30,jey.b030,Primary
JEY,B31,jey.b031,Non-Primary
JEY,B32,jey.b032,Non-Primary
JEY,B33,jey.b033,Both
JEY,B34,jey.b034,Non-Primary
JEY,B35,jey.b035,Non-Primary
JEY,B36,jey.b036,Primary
JEY,B37,jey.b037,Non-Primary
JEY,B38,jey.b038,Non-Primary
JEY,B39,jey.b039,Non-Primary
JEY,B40,jey.b040,Non-Primary
JEY,B41,jey.b041,Non-Primary
JEY,B42,jey.b042,Non-Primary
JEY,B43,jey.b043,Non-Primary
JEY,B44,jey.b044,Non-Primary
JEY,B45,jey.b045,Non-Primary
JEY,B46,jey.b046,Non-Primary
JEY,B47,jey.b047,Non-Primary
JEY,B48,jey.b048,Non-Primary
JEY,B49,jey.b049,Non-Primary
JEY,B50,jey.b050,Non-Primary
JEY,B51,jey.b051,Non-Primary
JEY,B52,jey.b052,Non-Primary
JEY,B53,jey.b053,Both
JEY,B54,jey.b054,Primary
JEY,B55,jey.b055,Both
JEY,B56,jey.b056,Non-Primary
JEY,B57,jey.b057,Non-Primary
JEY,B58,jey.b058,Non-Primary
JEY,B59,jey.b059,Non-Primary
JEY,B60,jey.b060,Primary
JEY,B61,jey.b061,Non-Primary
JEY,B62,jey.b062,Non-Primary
JEY,B63,jey.b063,Non-Primary
JEY,B64,jey.b064,Primary
JEY,B65,jey.b065,Non-Primary
JEY,B66,jey.b066,Non-Primary
JEY,B67,jey.b067,Non-Primary
JEY,B68,jey.b068,Non-Primary
JEY,B69,jey.b069,Non-Primary
JEY,B70,jey.b070,Non-Primary
JEY,B71,jey.b071,Non-Primary
JEY,B72,jey.b072,Non-Primary
JEY,B73,jey.b073,Non-Primary
JEY,B74,jey.b074,Non-Primary
JEY,B75,jey.b075,Non-Primary
JEY,B76,jey.b076,Non-Primary
JEY,B77,jey.b077,Non-Primary
JEY,B78,jey.b078,Non-Primary
JEY,B79,jey.b079,Both
JEY,B80,jey.b080,Non-Primary
JEY,B81,jey.b081,Non-Primary
JEY,B82,jey.b082,Non-Primary
JEY,B83,jey.b083,Non-Primary
JEY,B84,jey.b084,Non-Primary
JEY,B85,jey.b085,Non-Primary
JEY,B86,jey.b086,Primary
JEY,B87,jey.b087,Primary
JEY,B88,jey.b088,Non-Primary
JEY,B89,jey.b089,Non-Primary
JEY,B90,jey.b090,Non-Primary
JEY,B91,jey.b091,Non-Primary
JEY,B92,jey.b092,Non-Primary
